grupo_id,n_registros,codigos,establecimiento_representativo,niveles,nombre_generico_sospechoso
2245,12,"10-01-0050-43, 10-01-0092-45, 10-01-0256-42, 10-01-0281-46, 10-01-0282-46, 10-01-0283-46, 10-01-0284-46, 10-01-0285-46, 10-01-0366-45, 10-01-0381-46, 10-01-0881-45, 10-01-2687-45","COLEGIO PRIVADO ""RAFAEL LANDIVAR""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2285,12,"10-13-0035-42, 10-13-0036-43, 10-13-0042-45, 10-13-0047-45, 10-13-0049-46, 10-13-0050-46, 10-13-0051-46, 10-13-0055-45, 10-13-0056-46, 10-13-0058-45, 10-13-0059-46, 10-13-2376-45",COLEGIO PRIVADO MIXTO PAMAXÁN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
113,12,"00-01-0306-42, 00-01-0307-43, 00-01-0850-45, 00-01-0851-46, 00-01-8520-45, 00-01-8521-46, 00-01-8523-46, 00-01-8532-45, 00-01-8533-46, 00-01-8534-45, 00-01-8535-46, 00-01-9846-46",LICEO MONTECARLO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1774,12,"05-11-0060-46, 05-11-0081-46, 05-11-0108-45, 05-11-0109-46, 05-11-0476-42, 05-11-0486-43, 05-11-0492-45, 05-11-0492-46, 05-11-0713-45, 05-11-0723-46, 05-11-0724-46, 05-11-1773-45","COLEGIO ""SAN CARLOS""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
663,12,"01-08-0226-43, 01-08-0227-45, 01-08-0228-44, 01-08-0229-45, 01-08-0233-44, 01-08-0234-45, 01-08-0235-45, 01-08-0236-46, 01-08-0237-46, 01-08-0238-43, 01-08-0239-45, 01-08-0880-45",LICEO INTEGRAL BILINGUE LAN-DER,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
2279,12,"10-10-0001-46, 10-10-0044-43, 10-10-0045-42, 10-10-0046-46, 10-10-0047-46, 10-10-0056-46, 10-10-0090-45, 10-10-0097-45, 10-10-0098-46, 10-10-2678-45, 10-10-2679-45, 10-10-2680-46","COLEGIO PRIVADO MIXTO ""AMERICANO""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2995,12,"15-01-0006-42, 15-01-0010-43, 15-01-0051-45, 15-01-0051-46, 15-01-0099-46, 15-01-0152-45, 15-01-0153-46, 15-01-0169-45, 15-01-0176-45, 15-01-0177-46, 15-01-2022-45, 15-01-2023-46",COLEGIO PARTICULAR MIXTO TEZULUTLAN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3011,12,"15-01-0111-46, 15-01-0112-46, 15-01-0113-46, 15-01-0114-46, 15-01-0115-46, 15-01-0154-46, 15-01-0178-46, 15-01-1643-45, 15-01-1844-42, 15-01-1848-43, 15-01-1849-45, 15-01-2024-45",COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1747,12,"05-09-0079-45, 05-09-0080-45, 05-09-0081-46, 05-09-0082-46, 05-09-0083-46, 05-09-0085-46, 05-09-0086-46, 05-09-0087-46, 05-09-0088-46, 05-09-0089-42, 05-09-0090-43, 05-09-0120-46","COLEGIO PREUNIVERSITARIO ""SAN PABLO""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
504,12,"01-03-0067-42, 01-03-0068-43, 01-03-0069-45, 01-03-0070-45, 01-03-0071-46, 01-03-0072-46, 01-03-0073-45, 01-03-0074-46, 01-03-0078-45, 01-03-0170-45, 01-03-0180-45, 01-03-0181-46",LICEO MIXTO PINULTECO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
